timestamp,judge_model,vignette_id,persona_id,model,condition,clarity,relevance,importance,g1_grounded,g2_narrative,g3_explicit,g4_relevant,dsm_a,dsm_b,dsm_c,dsm_d,dsm_e,dsm_g,ec_threat,ec_appraisals,ec_memory,ec_strategies,ec_triggers,rationale
2026-05-15T13:27:57.610883,deepseek-v4-pro,V004,384,gpt-5.4,no_formulation,3,3,3,3,3,3,3,1,1,0,1,1,1,1,1,1,1,1,"clarity: The vignette is precise and specific, with vivid, concrete details that clearly convey Marisol's thoughts, emotions, and behaviors. | relevance: This is a richly detailed case that shows how PTSD symptoms manifest in specific, context-bound ways, such as hypervigilance even at home and food restriction as a control mechanism, making it a recognizable clinical presentation. | importance: The vignette provides high learning value by illustrating specific clinical nuances such as fragmented traumatic memory and shame-driven self-punishment, which deepen understanding of PTSD beyond a generic symptom list. | g1_grounded: The vignette is written from inside the patient's specific experience, with exact situational details and personal paradoxes that convey a truly lived, clinically realistic portrayal. | g2_narrative: The vignette presents a fully traceable through-line from trauma to specific beliefs (guilt, shame, unworthiness) to specific coping behaviors (rigidity, hypervigilance, avoidance of ease) that maintain PTSD in a clinically meaningful and individualized way. | g3_explicit: PTSD details are explicitly named and shown through concrete behaviors and internal experiences, making them immediately identifiable. | g4_relevant: Every detail in the vignette directly serves the clinical picture of PTSD, with no distracting or irrelevant content. | dsm_a: The vignette clearly describes the client directly experiencing sexual violence (rape), satisfying DSM-5 Criterion A for a traumatic event. | dsm_b: The vignette explicitly describes intrusive, sensory re-experiencing symptoms (flashbacks) and intense distress at reminders, satisfying DSM-5 Criterion B. | dsm_c: Avoidance of trauma-related stimuli is not explicitly present; the text shows distress in response to reminders rather than clear efforts to avoid them. | dsm_d: The vignette contains explicit, detailed examples of guilt, shame, persistent negative beliefs, emotional numbing, and detachment from others, meeting DSM-5 Criterion D. | dsm_e: The vignette explicitly depicts hypervigilance, satisfying Criterion E for hyperarousal. | dsm_g: The vignette provides explicit evidence of clinically significant distress and functional impairment through a narrowing of her world, persistent misery, and an inability to speak about the trauma without being overwhelmed. | ec_threat: Marisol explicitly does not experience the trauma as finished and re-experiences it with immediate fear, indicating a present sense of danger. | ec_appraisals: The vignette explicitly includes negative appraisals such as self-blame for the assault and a sense of being permanently stained. | ec_memory: The memory is explicitly described as broken into static, separate images that intrude with force, not as a story, indicating fragmentation and a present-tense quality. | ec_strategies: Marisol engages in self-punitive self-talk that intensifies guilt and blocks soothing, clearly demonstrating a maladaptive coping strategy that perpetuates her distress. | ec_triggers: Unusual quiet is a clearly identified external trigger that reliably provokes an involuntary alarm and threat-detection response."
2026-05-15T13:28:57.235450,deepseek-v4-pro,V002,252,qwen3.6-35b,no_formulation,3,3,3,3,3,3,3,0,0,0,1,1,1,0,1,0,1,1,"clarity: The vignette is highly precise and specific, describing thoughts, feelings, and behaviors in concrete detail, making it very clear and easy to follow. | relevance: The vignette provides a richly detailed, realistic portrayal of PTSD with personalized triggers and real-world consequences that a clinician would immediately recognize as clinically relevant. | importance: This vignette offers high learning value by illustrating a specific clinical nuance about how fragmented trauma memories can erode a person's sense of self, deepening a trainee's understanding beyond standard symptom lists. | g1_grounded: The vignette is written from inside the patient's specific experience, with precise situational details, internal conflict, and a uniquely personal reason for seeking help. | g2_narrative: The vignette artfully connects the trauma of witnessing an unresolved violent incident and the resulting belief in institutional failure to a coherent pattern of hypervigilance, trigger-specific avoidance, and emotional numbing, making the internal logic fully transparent. | g3_explicit: PTSD symptoms are overtly depicted through concrete behavioral descriptions. | g4_relevant: All information is strictly relevant to the PTSD clinical picture; no distracting or irrelevant content is present. | dsm_a: The traumatic event is not clearly and explicitly described as involving death, serious injury, or sexual violence. | dsm_b: No explicit flashbacks, nightmares, or intense distress at trauma reminders are present. | dsm_c: Avoidance is described, but the connection to trauma-related stimuli is not made explicit. | dsm_d: The vignette explicitly portrays emotional numbing and detachment from others, consistent with negative alterations in cognition and mood. | dsm_e: The vignette provides explicit and repeated evidence of hyperarousal (exaggerated startle and hypervigilance) consistent with DSM-5 Criterion E. | dsm_g: The vignette explicitly describes occupational and social functional impairment due to distress, meeting Criterion G. | ec_threat: The vignette shows hypervigilance and startle responses but does not explicitly indicate a felt conviction that the trauma is still occurring, only that the world seems dangerous and triggers alertness. | ec_appraisals: The vignette explicitly describes a negative appraisal of permanent damage following the trauma. | ec_memory: The vignette demonstrates fragmented trauma memory, but the dimension's requirement that the memory 'feels like happening now rather than in the past' is not explicitly shown. | ec_strategies: The vignette explicitly depicts avoidance strategies (e.g., avoiding the dairy aisle, withdrawing from gatherings) that directly result in negative consequences, such as losing his preferred shift and deepening isolation, thereby perpetuating his PTSD symptoms. | ec_triggers: The vignette explicitly provides specific external cues (e.g., sliding door, dropped cartons) that reliably trigger distress reactions, meeting the criterion for triggers for re-experiencing."
2026-05-15T13:29:18.289419,deepseek-v4-pro,V003,299,gemini-2.5-flash,zero_shot,3,3,2,3,3,3,3,1,1,1,1,1,1,0,1,0,1,1,"clarity: Extremely precise and specific, with clear behavioral, emotional, and cognitive details throughout. | relevance: The vignette richly portrays a clinically recognizable PTSD case with specific, realistic details of re-experiencing, avoidance, and altered reactivity following a child's medical crisis. | importance: The vignette illustrates a typical PTSD presentation with common symptoms and triggers, providing solid foundational knowledge but lacking a specific clinical nuance that would change how a trainee thinks about the disorder. | g1_grounded: The vignette is richly detailed with the character's exact situations, precise paradoxes, and internal experiences, reflecting clinical realism written from within her perspective. | g2_narrative: The vignette presents a clear, connected personal narrative where the trauma, ensuing belief, and specific behaviours form a fully traceable line. | g3_explicit: PTSD symptoms such as re-experiencing, avoidance, hypervigilance, and negative mood alterations are explicitly depicted through specific behaviors and sensory details throughout the vignette. | g4_relevant: Every detail in the vignette directly illustrates a symptom or maintaining factor of chronic PTSD, leaving no irrelevant or distracting information. | dsm_a: The vignette explicitly describes a life-threatening medical event (acute respiratory distress with cyanosis) in the protagonist's child, directly witnessed by her, fulfilling Criterion A. | dsm_b: The vignette explicitly depicts frequent trauma-related nightmares and marked distress at reminders, satisfying Criterion B. | dsm_c: Mei Ling actively avoids the hospital district, medical TV shows, and discussions about the traumatic event, explicitly demonstrating avoidance of both external reminders and trauma-related thoughts/feelings. | dsm_d: The vignette explicitly depicts guilt, shame, persistent negative beliefs, and emotional numbing, clearly meeting Criterion D. | dsm_e: The vignette explicitly describes hypervigilance, exaggerated startle, sleep disturbance, and irritability, all symptoms meeting DSM-5 Criterion E. | dsm_g: The vignette explicitly details occupational impairment due to PTSD symptoms. | ec_threat: The vignette portrays re-experiencing and hypervigilance but lacks explicit evidence of a sense of current threat—a feeling that the trauma is occurring in the present moment. | ec_appraisals: Mei Ling's persistent guilt about potentially missing signs and believing she could have prevented her son's illness constitutes an explicit negative appraisal of her own actions during the trauma. | ec_memory: The trauma memory is described as a vivid and coherent story, not as fragmented or disorganised, so it does not meet the required nature of intrusions. | ec_strategies: Remaining guarded mutes joy, demonstrating a maladaptive coping strategy that maintains PTSD-related emotional numbing. | ec_triggers: The vignette specifies distinct sensory triggers (disinfectant smell, child's cough) that reliably activate re-experiencing and distress, meeting the criterion for a score of 1."
2026-05-15T13:30:58.782093,deepseek-v4-pro,V001,252,gpt-5.4-mini,no_formulation,3,3,3,3,2,3,3,0,1,0,1,1,1,0,0,0,0,1,"clarity: The vignette is highly clear, with precise and specific descriptions of the character's behaviors, internal states, and motivations. | relevance: The vignette offers a richly detailed, clinically recognizable portrayal of PTSD in an older adult, with specific behavioral patterns and environmental triggers that a practitioner would encounter in actual practice. | importance: The vignette teaches specific clinical insights about fragmented traumatic memory and moral injury, offering high educational value for clinical training. | g1_grounded: The vignette is written from inside Tane's specific experience, with exact situations, paradoxes, and his unique motivation for seeking treatment. | g2_narrative: The narrative flows from trauma to symptoms with some clear connections (doors, hypervigilance), but the internal logic remains incomplete—e.g., the link to babies is unexplained, and the specific beliefs underpinning his coping are only partly visible. | g3_explicit: PTSD symptoms are demonstrated through vivid, specific behaviors and internal experiences that make them explicit and immediately identifiable. | g4_relevant: Every detail in the vignette reinforces the PTSD presentation, leaving no irrelevant or distracted content. | dsm_a: The traumatic event is not explicitly described as involving death, serious injury, or sexual violence, only a collapse and a chaotic scene. | dsm_b: The vignette explicitly describes intense and involuntary physiological distress tied to sensory reminders of the trauma, fulfilling DSM-5 Criterion B for intrusion symptoms. | dsm_c: The vignette details hypervigilance, startle, and emotional numbing, but does not clearly and explicitly describe efforts to avoid trauma-related thoughts, feelings, or external reminders. | dsm_d: The vignette clearly states emotional numbing and persistent negative beliefs, meeting Criterion D. | dsm_e: Criterion E is clearly present through explicit descriptions of hypervigilance and exaggerated startle. | dsm_g: The vignette explicitly describes functional narrowing, draining hypervigilance, emotional numbing, and seeking help due to being tired of living on guard, meeting the threshold for clinically significant distress or impairment. | ec_threat: The vignette portrays hypervigilance and exaggerated startle without an explicit statement that the person believes the traumatic event is occurring again or that the danger remains current. | ec_appraisals: The vignette lacks an explicit negative appraisal about the self or the trauma's aftermath (e.g., no statement of being damaged or at fault). | ec_memory: Memory is fragmented, but the vignette lacks explicit statement that the memory feels like it is happening now. | ec_strategies: Avoidance is present, but the vignette lacks an explicit demonstration that these coping strategies backfire or actively perpetuate symptoms. | ec_triggers: The vignette explicitly includes specific sensory triggers (slamming doors, crying babies) that reliably produce distress, meeting the threshold for a score of 1."
2026-05-15T13:36:34.519556,deepseek-v4-pro,V005,142,qwen3.6-35b,no_formulation,3,3,3,3,3,3,3,1,0,0,1,1,1,1,0,0,1,1,"clarity: The vignette uses precise, specific details that clearly convey the character's experiences and internal state, making it easy to follow and free from ambiguity. | relevance: The vignette portrays Julian's PTSD with rich, specific behavioral patterns that make it feel like a real, clinically recognizable case. | importance: This vignette offers clinically nuanced insights into PTSD, such as emotional numbing of positive feelings and the persistent hypervigilant state despite conscious knowledge of safety, which are highly instructive for trainees. | g1_grounded: The vignette is written from inside Julian's specific experience, presenting precise situations, paradoxes, and the unique reason he sought help, aligning with the highest level of clinical realism. | g2_narrative: A full through-line is visible: the trauma creates a belief that unpredictability equals danger, which drives precise avoidance and hypervigilance behaviors that sustain PTSD. | g3_explicit: PTSD symptoms are vividly shown through concrete behaviors and internal reactions rather than only hinted at or requiring reader inference. | g4_relevant: Every detail is clinically relevant and supports the PTSD symptom picture. | dsm_a: Julian directly experienced threatened death and serious injury during a compound attack, satisfying Criterion A. | dsm_b: The vignette lacks explicit depiction of intrusion symptoms; reactions are presented as general hyperarousal and avoidance, not as flashbacks, nightmares, or explicit distress triggered by reminders of the trauma. | dsm_c: No explicit avoidance of trauma-related thoughts or external reminders is described; the gym avoidance remains disconnected from trauma cues. | dsm_d: The vignette contains clear, explicit evidence of emotional numbing and detachment from others, aligning with DSM-5 Criterion D. | dsm_e: Hypervigilance and exaggerated startle are explicitly and repeatedly demonstrated in the text. | dsm_g: Julian experiences a panic-like response to a benign situation, coupled with ongoing avoidance and interpersonal strain, which leads him to recognize the need for clinical help. | ec_threat: Julian's feeling that the ground could give way beneath him now demonstrates a present sense of threat, not just a memory of past danger. | ec_appraisals: The vignette lacks an explicit negative self-appraisal; it shows consequences of trauma without directly stating an overly negative interpretation of self or aftermath. | ec_memory: The trauma memory is presented as an ordinary autobiographical memory, not as fragmented or as if occurring in the present. | ec_strategies: Julian's deliberate distancing and hypervigilant routines are shown to not protect him, but to narrow his life and sustain his distress, fitting maladaptive coping. | ec_triggers: Specific external cues (people approaching unexpectedly) reliably trigger physical distress and threat perception."
2026-05-15T13:37:01.828729,deepseek-v4-pro,V006,122,gpt-5.4-mini,no_formulation,3,3,3,3,3,3,3,0,1,1,1,1,1,0,1,1,1,1,"clarity: The vignette is extremely clear, with precise behavioral and sensory details that leave no ambiguity about the character's experiences. | relevance: The vignette is richly relevant, with specific, clinically detailed examples of how PTSD symptoms manifest in Samir's daily functioning, work, and relationships. | importance: The vignette conveys specific clinical nuances—paradoxical trauma memory and fawning compliance—that offer high educational value for understanding PTSD beyond generic criteria. | g1_grounded: The vignette is written from inside Samir's unique experience, with specific triggers, internal conflicts, and a personal reason for seeking help, making it highly grounded in realistic clinical detail. | g2_narrative: The vignette fully traces the internal logic from the robbery to the specific belief about unpredictability and unreliability of others, driving hypervigilance, avoidance, and submissive coping in a coherent, clinically meaningful way. | g3_explicit: PTSD symptoms are explicitly named and shown through concrete, vivid actions rather than being buried or implied. | g4_relevant: Every detail serves the clinical picture, with no distracting or irrelevant content. | dsm_a: The traumatic event described is a robbery without explicit threat of death, serious injury, or sexual violence, so Criterion A is not clearly met. | dsm_b: The vignette clearly shows intrusive, sensory-laden memories and intense distress at reminders of the trauma. | dsm_c: Samir explicitly avoids trauma-related external reminders like the clinic parking lot and constrains their world to safer routes and times. | dsm_d: The vignette explicitly describes a persistent negative belief about others' reliability, meeting Criterion D. | dsm_e: The vignette provides detailed, explicit descriptions of hypervigilance, clearly meeting Criterion E. | dsm_g: The vignette contains multiple explicit statements of clinically significant distress and functional impairment, such as fear, misery, and difficulty performing ordinary errands. | ec_threat: The vignette shows hypervigilance and anticipation of future danger, but lacks explicit evidence of a present sense that the trauma is still occurring now. | ec_appraisals: The vignette explicitly shows a negative appraisal where Samir believes their former identity is gone and replaced by a perpetually vigilant, damaged self. | ec_memory: Memory is explicitly fragmented, disorganized, and intrudes as a vivid, present-tense reliving rather than a coherent autobiographical narrative. | ec_strategies: Samir's avoidance, scanning, and compliance are explicitly shown to backfire by shrinking their world and maintaining hypervigilance. | ec_triggers: The vignette explicitly includes specific sensory triggers (footsteps, shadows, smell) that reliably provoke re-experiencing."
2026-05-15T13:37:50.909935,deepseek-v4-pro,V007,112,gpt-5.4-mini,zero_shot,3,3,3,2,3,3,3,1,1,1,0,1,1,1,0,1,0,1,"clarity: The vignette is highly precise and specific, making the person's inner state and behaviors unmistakably clear. | relevance: The vignette presents a detailed and clinically meaningful picture of PTSD with specific patterns of avoidance, hyperarousal, and intrusion that a clinician would immediately recognize as a realistic case. | importance: The vignette offers specific, teachable nuance about the manifestation of PTSD in a professional context, revealing how personality and vocation intersect with symptoms in a way that deepens clinical understanding. | g1_grounded: Realistic, detailed symptoms but portrayed in terms that could describe many patients; lacks a uniquely internal, particular reason for clinical presentation. | g2_narrative: The vignette shows a clear internal logic connecting the trauma to a specific belief about loss of control, which drives predictable hypervigilance and avoidance, fully meeting the criterion for a personal narrative rather than a symptom list. | g3_explicit: PTSD features are explicitly shown through vivid descriptions of hypervigilance, re-experiencing, and avoidance behaviors. | g4_relevant: Every detail serves the clinical picture, with direct connections to symptoms and maintaining factors, containing no distracting or irrelevant content. | dsm_a: The vignette explicitly describes a life-threatening natural disaster where the protagonist directly experienced the threat of serious harm or death. | dsm_b: The vignette clearly describes nightmares and intense distress at reminders of the trauma, fulfilling Criterion B. | dsm_c: The vignette explicitly describes avoidance of trauma-related external reminders (disaster footage). | dsm_d: The vignette lacks explicit evidence of DSM-5 Criterion D symptoms such as guilt, shame, persistent negative beliefs about the self, emotional numbing, or detachment from others. | dsm_e: The vignette explicitly describes hypervigilance, sleep disturbance with nightmares and startled waking, and irritability, fully satisfying Criterion E. | dsm_g: The vignette explicitly describes ongoing distress (tension, dread, stomach drop) and functional impact (increased effort to focus at work) following the event. | ec_threat: The vignette shows a clear sense of current threat through the description of the person behaving as though the traumatic details are still happening in the present. | ec_appraisals: No explicit catastrophic or overly negative interpretation of the trauma or its aftermath is stated. | ec_memory: The memory is depicted as fragmented and feels like it is happening now, meeting the criterion for a non-ordinary autobiographical memory. | ec_strategies: Avoidance and safety behaviors are present, but no explicit demonstration that the strategy backfires or perpetuates symptoms. | ec_triggers: Multiple specific external cues (rain, weather alerts, rain sounds) are described as reliably causing tension, physiological alarm, and re-experiencing."
2026-05-15T13:39:40.385088,deepseek-v4-pro,V008,239,gpt-5.4-mini,zero_shot,3,3,3,3,2,3,3,1,1,1,1,1,1,1,0,0,1,1,"clarity: The vignette is highly clear, with vivid, specific details that precisely convey the character's thoughts, feelings, and behaviors. | relevance: A clinician would recognize this as a vivid, realistic case of PTSD with specific, idiosyncratic details that illustrate how the trauma infiltrates daily life and professional identity. | importance: The vignette offers high learning value by illustrating specific clinical nuances, such as trauma-cue integration into professional identity and the role of prior bereavement in shaping post-traumatic coping. | g1_grounded: The vignette is deeply grounded in the character's specific internal world, conveying precise triggers, paradoxes, and the personal cost of his symptoms. | g2_narrative: The vignette is a coherent personal narrative, but the specific beliefs connecting trauma to behavior and coping are implied rather than fully articulated, resulting in a partially visible internal logic. | g3_explicit: PTSD re-experiencing, avoidance, and hypervigilance are explicitly depicted through specific, vivid actions without requiring inference. | g4_relevant: Every detail, from the wife's death to the specific triggers in the dental office, contributes directly to the PTSD presentation and maintaining factors, leaving no irrelevant or misleading content. | dsm_a: The vignette explicitly and vividly describes the protagonist directly experiencing a bombing, a traumatic event involving threat of death or serious injury. | dsm_b: The vignette explicitly describes both flashbacks and nightmares, clearly meeting DSM-5 Criterion B for intrusion symptoms. | dsm_c: The vignette clearly shows avoidance of external trauma-related reminders by steering clear of the damaged part of town and altering travel routes. | dsm_d: The vignette explicitly shows detachment from others through withdrawal from family gatherings and social invitations, satisfying Criterion D. | dsm_e: The vignette explicitly depicts exaggerated startle, sleep disturbance, and hypervigilance, meeting DSM-5 Criterion E. | dsm_g: The vignette clearly depicts functional impairment in occupational and social domains, along with marked distress. | ec_threat: The vignette explicitly shows a sense of current threat by describing the character as perpetually listening for the next explosion, indicating the trauma feels ongoing and dangerous now. | ec_appraisals: No explicit catastrophic or overly negative interpretation of the trauma or its aftermath is present in the vignette. | ec_memory: The trauma memory is depicted as clear and narrative-like rather than fragmented and disorganised, despite some present-tense re-experiencing. | ec_strategies: The vignette includes a clear example of a coping strategy (sitting with news for company) that backfires by making him tense, thereby perpetuating symptoms. | ec_triggers: The vignette provides multiple specific sensory triggers that reliably activate trauma memory and distress."
2026-05-15T13:44:32.158041,deepseek-v4-pro,V009,311,deepseek-reasoner,no_formulation,3,3,3,3,3,3,3,1,1,1,1,1,1,0,1,1,1,1,"clarity: The vignette is exceptionally clear, using precise and specific details to depict the character's inner and outer world without confusion or ambiguity. | relevance: The vignette offers deeply specific, clinically authentic details that a practitioner would recognize as a real-world PTSD case, well beyond generic or thin description. | importance: The vignette offers high learning value by illustrating the paradoxical nature of trauma memory and interoceptive distrust, providing a nuanced clinical insight rather than generic PTSD knowledge. | g1_grounded: The vignette provides a richly detailed, internally consistent portrait of this specific individual's experience, including precise triggers, paradoxical dissociative symptoms, and a concrete, personal precipitant for seeking help, fully meeting the criteria for a score of 3. | g2_narrative: A clear through-line connects the specific trauma details to the patient's beliefs, avoidance, and coping, making the internal logic fully traceable. | g3_explicit: PTSD details (intrusions, avoidance, hyperarousal, dissociation) are explicitly depicted through specific, concrete behaviors and inner experiences. | g4_relevant: Every detail in the vignette, from specific trauma memories to current coping strategies, directly serves the clinical picture of PTSD without any irrelevant or distracting content. | dsm_a: Criterion A is met because the vignette explicitly describes the character's direct experience of torture and life-threatening assault. | dsm_b: The vignette contains explicit descriptions of intrusive flashbacks, intense distress at trauma reminders, and nightmares, satisfying Criterion B. | dsm_c: The vignette includes clear behavioral avoidance of external trauma reminders, such as discarding specific clothing items. | dsm_d: The vignette explicitly describes persistent negative beliefs about the self and the world, clearly satisfying Criterion D. | dsm_e: The vignette explicitly depicts hypervigilance and exaggerated startle, satisfying Criterion E. | dsm_g: The vignette explicitly describes acute distress at work, nocturnal hypervigilance, and the recognition that she cannot continue functioning this way, indicating marked impairment. | ec_threat: The vignette shows physiological reactivity and general hypervigilance but does not provide explicit evidence that Amina feels the trauma is still happening or presently dangerous. | ec_appraisals: The vignette explicitly shows multiple catastrophic negative appraisals, including the belief that her old self is gone forever and the world will never be safe. | ec_memory: The memory is explicitly described as coming in fragments, showing a fragmented nature characteristic of PTSD trauma memory. | ec_strategies: The vignette explicitly shows maladaptive coping strategies backfiring by causing divorce, social isolation, and continued distress. | ec_triggers: The vignette explicitly describes specific, reliable triggers (name, weather, physical proximity) that activate trauma-related distress, matching the criterion."
2026-05-15T13:45:29.135316,deepseek-v4-pro,V011,384,gpt-5.4,full,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,"clarity: The vignette is precise and specific, vividly conveying what the character does, thinks, and feels with concrete examples that leave no ambiguity. | relevance: This vignette presents a richly relevant, clinically nuanced case with specific, interlocking details that show how PTSD operates in the context of the patient's faith, work, and relationships, making it wholly recognizable as a case a practitioner might actually encounter. | importance: The vignette provides high learning value by illustrating specific, nuanced clinical insights about PTSD—the manifestation of shame through self-punishing behaviors and the fragmented, sensory quality of traumatic memories—that would deepen a trainee's understanding beyond symptom checklists. | g1_grounded: The vignette is written from inside Marisol's specific experience, with exact sensory fragments, the internal logic of her self-punishment, and the particular triggering event that finally led her to seek help. | g2_narrative: The vignette provides a full through-line from the specific trauma to the specific beliefs they generated, to the specific behaviors that maintain her distress, allowing a clear internal logic to emerge. | g3_explicit: PTSD features such as intrusive re-experiencing, avoidance, and hypervigilance are explicitly shown in action and not just implied. | g4_relevant: Every detail in the vignette serves the clinical picture of PTSD, with no irrelevant or misleading content. | dsm_a: The vignette explicitly describes a rape, which qualifies as a Criterion A traumatic event. | dsm_b: The vignette clearly and explicitly depicts intrusive flashbacks and intense psychological distress triggered by trauma reminders. | dsm_c: Marisol explicitly avoids external reminders (quiet rooms, being alone in the building) and internal states (relaxation, stillness) associated with the trauma. | dsm_d: The vignette explicitly describes intense guilt, shame, and persistent negative beliefs about herself and the world, satisfying Criterion D. | dsm_e: The vignette clearly and explicitly presents hypervigilance, thereby satisfying DSM-5 Criterion E. | dsm_g: The vignette explicitly depicts clinically significant distress and functional impairment, as shown by a acute episode where she is unable to eat or function, leading her to seek help. | ec_threat: Marisol explicitly perceives current danger gathering in silence, demonstrating a sense of ongoing threat. | ec_appraisals: The vignette contains multiple explicit negative appraisals, including the belief that she has been permanently changed for the worse and that her body is spoiled. | ec_memory: The trauma memory is explicitly described as fragmented, imagistic, lacking narrative coherence, and subjectively experienced as if happening in the present. | ec_strategies: The vignette explicitly presents maladaptive coping strategies (avoidance of relaxation, staying overly busy, rigid eating control) and directly links them to backfiring by worsening hypervigilance, exhaustion, and intrusive symptoms. | ec_triggers: The vignette explicitly describes specific triggers like sudden silence or delays that reliably provoke intrusive images and physical distress."
